conversacion_id,lead_id,modelo_interes,presupuesto_cuota,forma_pago,intencion,objecion_principal,pidio_cita,error_extraccion
CONV-00070,LD-00353,Bajaj Pulsar RS 200,800mil,credito,alta,,True,
CONV-00243,LD-01374,Bajaj Dominar 400,0 millonzitos,credito,media,consultar con la familia,True,
CONV-00342,LD-00145,Hero Dash 110,"1,5 millones",credito,alta,busca algo más económico,True,
CONV-00104,LD-00627,Bajaj Pulsar NS 125,1 millones,credito,alta,,True,
CONV-00547,LD-01039,Hero Xpulse 200,,,media,,False,
CONV-00497,LD-00196,Bajaj Pulsar RS 200,,,baja,está comparando con otras marcas,False,
CONV-00642,LD-91598,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00217,LD-01273,Honda CB 190R,1 palos,credito,alta,¿No tienen usadas?,True,
CONV-00115,LD-00931,AKT Evo RS 150,,,baja,consultar con la esposa,False,
CONV-00595,LD-00385,Bajaj Pulsar NS 160,"1,2 millones",credito,alta,tiempo de entrega,True,
CONV-00248,LD-01306,Suzuki Gixxer 150,1 millones,,alta,,True,
CONV-00616,LD-01217,Bajaj Pulsar RS 200,$4.000.000,credito,alta,,True,
CONV-00319,LD-01287,Suzuki Best 125,,,baja,No tengo con qué dar la inicial ahora,False,
CONV-00652,LD-94638,Honda XR 150L,$1.200.000,credito,alta,,True,
CONV-00455,LD-01280,Honda XR 150L,,,baja,inicial muy alta,False,
CONV-00379,LD-00854,Bajaj Dominar 400,"2,0 millones",credito,alta,,True,
CONV-00365,LD-00095,Honda XRE 300,4000mil,credito,alta,,True,
CONV-00535,LD-00358,Bajaj Pulsar NS 160,,credito,media,no tengo con qué dar la inicial ahora,True,
CONV-00519,LD-00820,Honda XRE 300,2 millones,credito,alta,,True,
CONV-00024,LD-00674,"Hero Dash 110, Bajaj Dominar 400",1 palos,credito,alta,,True,
CONV-00593,LD-01366,Hero Xpulse 200,2 millonzitos,credito,alta,,True,
CONV-00303,LD-01277,AKT Evo RS 150,,credito,media,reporte en centrales de riesgo,True,
CONV-00214,LD-00516,Suzuki GN 125,,,baja,la inicial está muy alta,False,
CONV-00636,LD-00217,Hero Eco Deluxe 100,1 palos,credito,alta,tasa muy alta,True,
CONV-00069,LD-00502,Hero Xpulse 200,1200mil,credito,alta,tiempo de entrega,True,
CONV-00189,LD-01324,Bajaj Pulsar RS 200,,credito,alta,estoy mirando también otra marca,True,
CONV-00554,LD-01439,Bajaj Dominar 400,"24,9 millones",contado,alta,,True,
CONV-00457,LD-00317,Bajaj Pulsar NS 160,,,media,,False,
CONV-00605,LD-00776,Suzuki V-Strom 250,,,baja,estoy comparando por ahora,False,
CONV-00438,LD-00030,Suzuki GN 125,,,baja,no tengo inicial,False,
CONV-00664,LD-00229,Suzuki GN 125,"2,5 millones",credito,alta,,True,
CONV-00490,LD-00111,Bajaj Discover 125,,,baja,estoy mirando también otra marca,False,
CONV-00053,LD-00281,Honda Dio 110,,,media,esta comparando por ahora,False,
CONV-00552,LD-01198,Honda Navi,,credito,alta,el interés está caro,True,
CONV-00619,LD-00453,Suzuki Gixxer 150,2 palos de inicial,credito,alta,,True,
CONV-00445,LD-01432,Bajaj Discover 125,0 millones,credito,alta,reporte viejo en centrales,True,
CONV-00446,LD-01322,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00651,LD-93917,Bajaj Discover 125,0 millones,credito,alta,necesidad de la moto esta semana,True,
CONV-00044,LD-00736,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00167,LD-00991,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00071,LD-00693,Suzuki Gixxer 150,,credito,alta,tasa muy alta,True,
CONV-00633,LD-01022,Honda XR 150L,1 millonzitos,credito,alta,reporte en centrales,True,
CONV-00270,LD-01235,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00468,LD-00790,Honda CB 190R,13 millones,contado,alta,,True,
CONV-00068,LD-00779,Honda Dio 110,3 millonzitos,credito,alta,,True,
CONV-00096,LD-00658,Suzuki GN 125,,credito,alta,reportado en Datacrédito,True,
CONV-00144,LD-00278,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00475,LD-01186,Honda CB 125F Twister,$500.000,credito,alta,reportado en Datacrédito,True,
CONV-00544,LD-01351,Bajaj Discover 125,$500.000,credito,alta,tasa muy alta,True,
CONV-00449,LD-01271,Suzuki Best 125,0 millones,credito,media,cuota mensual cara,True,
CONV-00177,LD-00418,Honda XR 150L,,,alta,,False,
CONV-00266,LD-00821,Hero Hunk 160R,$500.000,credito,media,cuota mensual elevada,True,
CONV-00308,LD-00482,AKT TTR 200,1200mil,credito,alta,estaba viendo una usada más barata,True,
CONV-00118,LD-01468,Bajaj Pulsar NS 125,8 palos,contado,alta,,True,
CONV-00137,LD-00871,Honda Dio 110,,,media,,False,
CONV-00302,LD-00229,Suzuki Best 125,2 millonzitos,credito,alta,,True,
CONV-00629,LD-00412,Bajaj Pulsar RS 200,,credito,alta,interés caro,True,
CONV-00083,LD-00079,Bajaj Dominar 400,"24,9 millones",contado,alta,,True,
CONV-00558,LD-00212,Honda XR 150L,,,baja,No tiene dinero para la inicial,False,
CONV-00415,LD-00071,Honda XRE 300,,,baja,Solo estaba mirando precios,False,
CONV-00291,LD-01473,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00001,LD-00759,Suzuki Gixxer 150,,,media,,False,
CONV-00061,LD-00979,Honda XR 150L,$2.500.000,credito,alta,,True,
CONV-00476,LD-00663,Honda Navi,,,baja,tiempo de entrega,False,
CONV-00062,LD-01085,Bajaj Boxer CT 100,1 palos,credito,alta,busca una opción más económica,True,
CONV-00251,LD-01083,Honda CB 190R,,,baja,estoy en centrales,False,
CONV-00054,LD-01272,Honda XRE 300,2 millones,credito,alta,,True,
CONV-00559,LD-00992,Bajaj Pulsar RS 200,,,baja,reportado en Datacrédito,False,
CONV-00422,LD-01070,Honda CB 190R,1 palos,credito,media,estaba viendo una usada más barata,True,
CONV-00441,LD-00533,Honda XRE 300,,,baja,solo estaba mirando precios,False,
CONV-00063,LD-01426,Bajaj Boxer CT 100,,,baja,Está por encima de lo que tengo,False,
CONV-00295,LD-00827,Honda CB 190R,0 millones,credito,media,no cuenta con cuota inicial,True,
CONV-00378,LD-00384,Bajaj Pulsar NS 160,,,media,,False,
CONV-00459,LD-01082,AKT Dynamic R3 125,5 millones,contado,alta,,True,
CONV-00464,LD-00347,Honda Navi,,,baja,precio más alto que otras opciones,False,
CONV-00231,LD-01160,Bajaj Pulsar RS 200,,,baja,Me están ofreciendo otra por menos plata,False,
CONV-00540,LD-00082,Honda XRE 300,,,baja,está mirando otra marca,False,
CONV-00352,LD-00465,Hero Xpulse 200,2 millonzitos,credito,alta,,True,
CONV-00530,LD-01485,Honda XR 150L,,,media,,False,
CONV-00521,LD-00831,AKT NKD 125,,,baja,No tengo inicial,False,
CONV-00512,LD-01108,AKT Dynamic R3 125,1000mil,credito,alta,No tengo inicial,True,
CONV-00572,LD-01162,Suzuki V-Strom 250,0 millones,credito,media,está mirando otra marca,True,
CONV-00008,LD-00884,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00132,LD-01355,Honda Navi,,,media,,False,
CONV-00034,LD-01455,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00536,LD-00549,Hero Xpulse 200,0 millonzitos,credito,media,la cuota está muy cara,True,
CONV-00276,LD-00172,Hero Hunk 160R,,credito,alta,reporte en centrales,True,
CONV-00649,LD-91911,Suzuki Best 125,,,baja,No tengo con qué dar la inicial ahora,False,
CONV-00618,LD-01115,Bajaj Pulsar RS 200,,,baja,consultar con la esposa,False,
CONV-00197,LD-00596,Honda XRE 300,,credito,media,estoy mirando también otra marca,True,
CONV-00479,LD-00091,Suzuki GN 125,2 millones,credito,alta,,True,
CONV-00447,LD-01170,AKT TTR 200,1000mil,credito,alta,,True,
CONV-00405,LD-00422,Suzuki V-Strom 250,$21.900.000,contado,alta,,True,
CONV-00109,LD-01381,Bajaj Discover 125,,,media,,False,
CONV-00473,LD-01088,Hero Dash 110,1 millones,credito,media,consultar con la esposa,True,
CONV-00573,LD-00733,Honda Dio 110,1 palos,credito,media,No tengo con qué dar la inicial ahora,True,
CONV-00534,LD-00632,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00471,LD-01298,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00297,LD-00032,Bajaj Dominar 400,,credito,media,está mirando otra marca,True,
CONV-00539,LD-01240,Honda XRE 300,,credito,alta,valor de la cuota mensual,True,
CONV-00002,LD-01097,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00318,LD-01236,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00376,LD-01490,Suzuki V-Strom 250,$500.000,credito,media,cuota muy cara,True,
CONV-00469,LD-00202,Honda XRE 300,,,baja,está comparando con otras marcas,False,
CONV-00326,LD-00412,Honda Dio 110,"6,9 millones",contado,alta,,True,
CONV-00164,LD-00696,Honda XR 150L,,,baja,precio más alto comparado con otra opción,False,
CONV-00402,LD-00837,Hero Xpulse 200,,credito,media,consultar en la casa,True,
CONV-00668,LD-01096,Honda XR 150L,2 millonzitos,credito,alta,,True,
CONV-00014,LD-00993,Honda CB 190R,0,credito,media,precio (comparación con usada más barata),True,
CONV-00355,LD-01430,Bajaj Pulsar NS 160,,,baja,curiosidad,False,
CONV-00027,LD-00534,Honda XR 150L,2 millones,credito,alta,,True,
CONV-00349,LD-00181,Honda XR 150L,0 millones,credito,alta,no cuenta con cuota inicial,True,
CONV-00017,LD-00027,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00241,LD-00893,Hero Xpulse 200,,,baja,la inicial está muy alta,False,
CONV-00395,LD-00144,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00279,LD-00127,Bajaj Dominar 400,0 millonzitos,credito,media,Muy costosa,True,
CONV-00538,LD-01368,Bajaj Dominar 400,24 millonzitos,contado,alta,,True,
CONV-00028,LD-01341,Hero Eco Deluxe 100,4900mil,contado,alta,,True,
CONV-00506,LD-00563,Bajaj Boxer CT 100,,,baja,está muy cara,False,
CONV-00224,LD-00426,Honda Navi,"1,0 millones",credito,media,No tengo inicial,True,
CONV-00485,LD-01289,AKT TTR 200,0,credito,alta,tasa de interés muy alta,True,
CONV-00413,LD-00542,Bajaj Discover 125,0 millonzitos,credito,alta,,True,
CONV-00220,LD-00992,Honda CB 125F Twister,1 palos,credito,alta,cuota mensual muy cara,True,
CONV-00306,LD-00191,Suzuki Gixxer 150,1 palos,credito,media,no tengo inicial,True,
CONV-00019,LD-01113,Honda CB 190R,,,baja,¿No tienen usadas?,False,
CONV-00460,LD-00153,Bajaj Dominar 400,,,baja,estoy en centrales,False,
CONV-00374,LD-00553,Hero Eco Deluxe 100,1 palos,credito,alta,tiempo de entrega,True,
CONV-00076,LD-00828,Honda XRE 300,1 palos,credito,alta,,True,
CONV-00562,LD-00088,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00523,LD-01411,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00637,LD-00052,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00507,LD-00749,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00160,LD-00788,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00058,LD-00956,AKT NKD 125,1 millonzitos,credito,alta,busca un precio más económico,True,
CONV-00416,LD-00669,AKT NKD 125,2 millones,credito,alta,,True,
CONV-00645,LD-98483,Honda XRE 300,,,baja,consultar en la casa,False,
CONV-00665,LD-00209,Bajaj Pulsar NS 125,"9,0 millones",contado,alta,,True,
CONV-00366,LD-00469,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00155,LD-00383,Hero Eco Deluxe 100,0 palos,credito,alta,tiempo de entrega,True,
CONV-00335,LD-00203,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00676,LD-01134,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00419,LD-00762,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00399,LD-00636,Hero Xpulse 200,"3,0 millones",credito,alta,,True,
CONV-00426,LD-01369,Hero Eco Deluxe 100,,,baja,tasa muy alta,False,
CONV-00675,LD-00988,Suzuki Best 125,6 millones,contado,alta,,True,
CONV-00237,LD-01090,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00638,LD-00811,Bajaj Pulsar NS 125,,credito,alta,interés caro,True,
CONV-00391,LD-01494,Honda XR 150L,,,media,,False,
CONV-00609,LD-00287,Suzuki V-Strom 250,21 millones,contado,alta,,True,
CONV-00548,LD-00170,Bajaj Pulsar RS 200,1 palos de inicial,credito,alta,,True,
CONV-00035,LD-01014,Bajaj Discover 125,,credito,alta,No tengo inicial,True,
CONV-00121,LD-00116,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00617,LD-00092,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00380,LD-00295,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00546,LD-01005,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00182,LD-00456,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00112,LD-00641,AKT TTR 200,,credito,media,reportado en Datacrédito,True,
CONV-00037,LD-00619,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00180,LD-00423,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00183,LD-01321,Bajaj Dominar 400,,,baja,¿No tienen usadas?,False,
CONV-00179,LD-00948,Suzuki V-Strom 250,21 palos,contado,alta,,True,
CONV-00178,LD-01413,Suzuki Gixxer 150,,,media,,False,
CONV-00057,LD-00193,Hero Eco Deluxe 100,0 millonzitos,credito,alta,inicial muy alta,True,
CONV-00003,LD-01166,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00174,LD-00220,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00625,LD-00045,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00312,LD-00670,Honda Navi,,,baja,está muy cara,False,
CONV-00290,LD-01262,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00005,LD-00631,Hero Hunk 160R,,,media,,False,
CONV-00120,LD-00587,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00337,LD-01453,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00387,LD-00597,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00074,LD-01271,AKT TTR 200,,,baja,reporte en centrales,False,
CONV-00022,LD-00570,AKT TTR 200,0 palos,credito,alta,cuota superior a su presupuesto,True,
CONV-00669,LD-00506,Suzuki Best 125,2 palos,credito,alta,,True,
CONV-00064,LD-00859,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00505,LD-01440,Honda CB 125F Twister,,,baja,tiempo de entrega,False,
CONV-00481,LD-00946,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00482,LD-00765,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00579,LD-00253,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00604,LD-00634,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00033,LD-00535,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00611,LD-00353,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00230,LD-00197,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00284,LD-01165,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00127,LD-01208,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00204,LD-00735,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00501,LD-00330,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00286,LD-00876,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00516,LD-01243,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00048,LD-01107,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00564,LD-00927,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00072,LD-00932,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00244,LD-01420,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00401,LD-00327,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00560,LD-00272,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00184,LD-00810,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00181,LD-00612,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00660,LD-01199,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00207,LD-00322,Suzuki Gixxer 150,800mil,credito,alta,cuota por encima de su presupuesto,True,
CONV-00213,LD-00754,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00166,LD-00288,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00456,LD-00091,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00330,LD-01489,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00434,LD-01197,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00135,LD-01364,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00199,LD-01004,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00338,LD-01290,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00007,LD-01406,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00474,LD-01238,AKT NKD 125,1200mil,credito,alta,interés caro,True,
CONV-00176,LD-00701,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00585,LD-00246,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00165,LD-00254,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00513,LD-01315,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00269,LD-01015,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
CONV-00093,LD-00445,,,,,,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
